ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
26431
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
160.01 235.614 4.71079 1
163.117 235.657 4.73362 1
161.561 237.213 6.27694 1
164.676 237.252 6.30352 1
234.104 237.259 6.30176 1
235.664 235.664 4.7312 1
237.219 237.219 6.27427 1
238.776 235.619 4.70542 1
163.159 238.768 4.70714 1
166.271 238.807 4.73402 1
164.719 240.366 6.27561 1
166.32 241.915 4.70732 1
167.837 240.4 6.30337 1
230.943 240.407 6.30345 1
232.507 238.815 4.7325 1
234.061 240.372 6.27587 1
232.461 241.922 4.71017 1
235.619 238.776 4.70542 1
169.44 241.944 4.73495 1
167.891 243.506 6.27091 1
169.519 245.024 4.69448 1
171.031 243.525 6.2992 1
172.606 241.948 4.74026 1
174.131 243.578 6.30551 1
172.576 245.086 4.71966 1
175.718 245.111 4.73714 1
224.605 243.545 6.3125 1
223.05 245.127 4.7359 1
227.771 243.545 6.30314 1
226.153 245.071 4.73266 1
229.343 241.955 4.73678 1
230.893 243.519 6.27474 1
229.286 245.058 4.70409 1
174.157 246.659 6.28015 1
177.297 246.694 6.30398 1
175.769 248.195 4.70579 1
180.469 246.689 6.31429 1
178.915 248.214 4.73268 1
182.027 248.262 4.74081 1
185.199 248.242 4.74468 1
213.574 248.247 4.74336 1
218.306 246.696 6.31282 1
216.747 248.268 4.7401 1
221.479 246.703 6.30418 1
219.863 248.221 4.73196 1
224.621 246.682 6.28507 1
223.016 248.194 4.70915 1
227.698 246.628 6.26583 1
177.365 249.764 6.26664 1
180.455 249.814 6.28432 1
183.622 249.828 6.30043 1
182.074 251.296 4.69903 1
186.747 249.869 6.30585 1
185.178 251.36 4.71568 1
189.927 249.849 6.30947 1
188.353 251.37 4.72551 1
193.078 249.862 6.31155 1
191.506 251.407 4.72875 1
196.223 249.865 6.31403 1
194.652 251.419 4.73545 1
199.373 249.844 6.31366 1
197.779 251.422 4.74292 1
202.552 249.842 6.31402 1
200.963 251.371 4.75042 1
205.703 249.858 6.31502 1
204.148 251.417 4.74377 1
208.849 249.849 6.3112 1
207.272 251.407 4.73614 1
212.026 249.873 6.30566 1
210.418 251.375 4.72603 1
215.151 249.832 6.30006 1
213.594 251.365 4.71552 1
218.321 249.818 6.28448 1
216.701 251.299 4.69903 1
221.421 249.762 6.26876 1
186.78 252.894 6.26806 1
189.916 252.97 6.27205 1
193.075 252.993 6.27765 1
196.215 252.986 6.28748 1
197.839 254.441 4.69458 1
199.39 252.969 6.2961 1
200.965 254.489 4.69615 1
202.539 252.967 6.29609 1
204.092 254.437 4.6944 1
205.714 252.979 6.28701 1
208.853 252.974 6.27551 1
211.991 252.898 6.26893 1
185.2 147.439 7.84418 1
188.339 147.358 7.85115 1
