ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
116135
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
227.78 170.994 3.12057 1
226.204 172.57 1.54281 1
227.781 174.147 0 1
227.782 174.146 3.11895 1
230.928 170.999 0 1
230.93 170.997 3.12259 1
229.356 172.572 1.54384 1
230.932 174.15 0 1
230.933 174.148 3.12065 1
234.076 171.003 0 1
234.078 171.002 3.12576 1
232.505 172.576 1.54516 1
234.08 174.154 0 1
234.082 174.153 3.12299 1
237.22 171.01 0 1
237.218 171.013 3.13407 1
235.651 172.582 1.54702 1
237.227 174.16 0 1
237.228 174.16 3.12692 1
240.361 171.017 0 1
240.34 171.041 3.15892 1
238.794 172.591 1.55056 1
240.376 174.163 0 1
240.37 174.173 3.13926 1
156.845 175.747 1.5662 1
159.973 175.734 1.54857 1
158.403 177.312 0 1
158.405 177.317 3.13523 1
163.118 175.732 1.54613 1
161.545 177.309 0 1
161.543 177.308 3.12537 1
166.268 175.73 1.5445 1
164.692 177.307 0 1
164.69 177.306 3.122 1
169.418 175.728 1.54329 1
167.842 177.305 0 1
167.84 177.304 3.11991 1
170.993 177.303 0 1
170.992 177.302 3.11831 1
172.57 175.725 1.54231 1
174.145 177.301 0 1
174.144 177.3 3.11702 1
175.723 175.723 1.54151 1
177.299 177.299 0 1
177.298 177.298 3.11597 1
178.876 175.721 1.54086 1
180.453 177.297 0 1
180.452 177.296 3.11512 1
182.03 175.719 1.54035 1
183.608 177.296 0 1
183.607 177.295 3.11445 1
185.185 175.718 1.53994 1
186.763 177.295 0 1
186.762 177.294 3.11392 1
188.341 175.717 1.53963 1
189.919 177.294 0 1
189.918 177.294 3.11352 1
191.497 175.717 1.53941 1
193.075 177.294 0 1
193.074 177.293 3.11324 1
194.653 175.716 1.53925 1
196.231 177.294 0 1
196.231 177.293 3.11306 1
197.809 175.716 1.53917 1
199.387 177.294 0 1
199.387 177.293 3.11299 1
200.965 175.716 1.53915 1
202.544 177.294 0 1
