ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
110501
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
180.295 170.195 2.01696 1
182.315 170.193 0 1
180.294 168.174 4.0269 1
182.313 170.19 4.02573 1
184.335 168.172 0 1
186.354 168.168 2.01674 1
184.334 170.189 2.01655 1
186.354 170.188 0 1
184.333 168.168 4.02606 1
186.352 170.185 4.02509 1
188.373 168.166 0 1
190.392 168.163 2.01645 1
188.372 170.184 2.01624 1
190.392 170.183 0 1
188.372 168.163 4.02548 1
190.391 170.18 4.02466 1
192.411 168.162 0 1
194.43 168.159 2.01628 1
192.41 170.18 2.01604 1
194.43 170.18 0 1
192.41 168.158 4.0251 1
194.429 170.177 4.02438 1
196.449 168.159 0 1
198.468 168.158 2.0162 1
196.449 170.178 2.01593 1
198.468 170.179 0 1
196.448 168.156 4.02489 1
198.468 170.176 4.02426 1
200.487 168.159 0 1
202.506 168.158 2.01622 1
200.487 170.178 2.0159 1
202.506 170.179 0 1
200.487 168.155 4.02484 1
202.506 170.176 4.02429 1
204.525 168.16 0 1
206.544 168.161 2.01631 1
204.525 170.179 2.01595 1
206.544 170.182 0 1
204.525 168.157 4.02494 1
206.544 170.179 4.02445 1
208.563 168.164 0 1
210.582 168.166 2.0165 1
208.563 170.183 2.01608 1
210.582 170.186 0 1
208.564 168.161 4.02519 1
210.583 170.183 4.02477 1
212.601 168.169 0 1
214.62 168.171 2.01679 1
212.601 170.187 2.01629 1
214.62 170.191 0 1
212.602 168.166 4.02561 1
214.621 170.188 4.02527 1
216.638 168.175 0 1
216.639 170.192 2.01665 1
216.64 168.171 4.02627 1
220.675 168.181 0 1
218.657 168.177 2.01727 1
218.657 170.196 0 1
220.677 170.198 2.01721 1
220.678 168.177 4.0273 1
218.66 170.193 4.02605 1
224.71 168.187 0 1
222.694 168.183 2.01806 1
222.694 170.201 0 1
224.713 170.202 2.01794 1
224.715 168.181 4.02875 1
222.697 170.197 4.02717 1
228.744 168.19 0 1
226.729 168.187 2.01903 1
226.729 170.204 0 1
228.748 170.204 2.01894 1
228.751 168.183 4.03046 1
226.734 170.2 4.0286 1
232.774 168.193 0 1
230.763 168.189 2.02031 1
230.762 170.207 0 1
232.779 170.205 2.02042 1
232.785 168.182 4.03239 1
230.769 170.2 4.03043 1
236.796 168.2 0 1
234.792 168.189 2.0221 1
234.789 170.21 0 1
236.806 170.206 2.02298 1
236.814 168.182 4.03516 1
234.801 170.199 4.03281 1
238.805 170.219 0 1
238.829 170.199 4.03586 1
158.14 174.258 0 1
158.116 174.238 4.03557 1
160.146 172.234 0 1
162.147 172.223 2.02173 1
160.136 174.244 2.02277 1
162.149 174.247 0 1
160.128 172.217 4.03464 1
162.137 174.236 4.03228 1
164.162 172.226 0 1
166.171 172.221 2.01985 1
164.156 174.241 2.02007 1
166.172 174.242 0 1
164.15 172.215 4.03161 1
166.164 174.235 4.02974 1
168.187 172.222 0 1
170.201 172.219 2.01844 1
168.184 174.239 2.01853 1
170.201 174.239 0 1
168.18 172.215 4.02949 1
170.197 174.234 4.0278 1
172.22 172.22 0 1
174.236 172.217 2.01745 1
172.217 174.236 2.01745 1
174.236 174.236 0 1
172.215 172.215 4.02772 1
174.233 174.233 4.02633 1
176.256 172.217 0 1
178.274 172.214 2.0168 1
176.254 174.234 2.01672 1
178.274 174.233 0 1
176.253 172.213 4.02639 1
178.271 174.23 4.02527 1
180.294 172.213 0 1
182.313 172.21 2.01637 1
180.292 174.231 2.01623 1
182.313 174.23 0 1
180.292 172.21 4.02545 1
182.311 174.227 4.02453 1
184.333 172.209 0 1
186.352 172.206 2.01607 1
184.332 174.227 2.01591 1
186.352 174.226 0 1
184.331 172.206 4.02478 1
186.35 174.224 4.02401 1
188.372 172.205 0 1
190.391 172.202 2.01584 1
188.371 174.224 2.01569 1
190.391 174.223 0 1
188.371 172.202 4.0243 1
190.39 174.221 4.02366 1
192.41 172.201 0 1
194.429 172.199 2.01571 1
192.41 174.221 2.01553 1
194.429 174.221 0 1
192.41 172.199 4.02398 1
194.429 174.218 4.02343 1
196.449 172.2 0 1
198.468 172.198 2.01564 1
196.448 174.219 2.01544 1
198.468 174.22 0 1
196.448 172.197 4.0238 1
198.467 174.217 4.02333 1
200.487 172.199 0 1
202.506 172.199 2.01565 1
200.487 174.219 2.01542 1
202.506 174.22 0 1
200.487 172.197 4.02376 1
202.506 174.218 4.02335 1
204.525 172.201 0 1
206.544 172.201 2.01573 1
204.525 174.22 2.01546 1
206.545 174.222 0 1
204.525 172.198 4.02385 1
206.545 174.22 4.0235 1
208.563 172.204 0 1
210.583 172.205 2.01589 1
208.564 174.223 2.01557 1
210.583 174.225 0 1
208.564 172.201 4.02407 1
210.584 174.223 4.02378 1
212.602 172.207 0 1
214.621 172.209 2.01615 1
212.603 174.226 2.01576 1
214.622 174.229 0 1
212.603 172.205 4.02445 1
214.623 174.227 4.02423 1
216.64 172.212 0 1
216.641 174.23 2.01606 1
216.641 172.209 4.02505 1
220.677 172.217 0 1
218.659 172.214 2.01656 1
218.66 174.233 0 1
220.679 174.234 2.01648 1
220.68 172.214 4.02591 1
218.662 174.231 4.0249 1
224.714 172.22 0 1
222.696 172.218 2.01711 1
222.697 174.237 0 1
224.717 174.237 2.01705 1
224.717 172.217 4.02705 1
222.7 174.234 4.0258 1
228.748 172.222 0 1
226.733 172.22 2.01787 1
226.733 174.239 0 1
228.752 174.239 2.01788 1
228.753 172.218 4.02857 1
226.737 174.236 4.02701 1
232.779 172.224 0 1
230.766 172.221 2.01898 1
230.767 174.241 0 1
232.784 174.239 2.01908 1
232.786 172.217 4.03057 1
230.772 174.236 4.02862 1
236.803 172.226 0 1
234.795 172.222 2.02069 1
234.796 174.241 0 1
236.814 174.236 2.01999 1
236.817 172.215 4.03271 1
234.804 174.234 4.03039 1
240.845 172.206 0 1
238.825 172.22 2.02198 1
238.83 174.23 0 1
240.84 174.23 2.02146 1
240.852 172.204 4.03585 1
238.836 174.228 4.03241 1
158.119 176.263 2.02254 1
156.103 178.275 2.02271 1
158.11 178.276 0 1
158.101 178.273 4.0329 1
160.136 176.268 0 1
162.141 176.262 2.02051 1
160.122 178.28 2.0202 1
162.139 178.283 0 1
160.122 176.257 4.0326 1
162.13 178.276 4.03035 1
164.156 176.263 0 1
166.167 176.259 2.01873 1
164.15 178.279 2.01902 1
166.166 178.28 0 1
164.148 176.256 4.03015 1
166.16 178.275 4.02836 1
168.184 176.259 0 1
170.199 176.256 2.01754 1
168.18 178.277 2.01772 1
170.198 178.277 0 1
168.179 176.254 4.02802 1
170.194 178.273 4.0266 1
172.217 176.256 0 1
174.234 176.254 2.01672 1
172.214 178.274 2.0168 1
174.233 178.274 0 1
172.213 176.253 4.02639 1
174.23 178.271 4.02527 1
176.253 176.253 0 1
178.272 176.251 2.01616 1
176.251 178.272 2.01616 1
178.271 178.271 0 1
176.251 176.251 4.02521 1
178.269 178.269 4.02431 1
180.292 176.25 0 1
182.311 176.248 2.0158 1
180.29 178.269 2.01573 1
182.31 178.268 0 1
180.29 176.248 4.02437 1
182.308 178.266 4.02365 1
184.331 176.247 0 1
186.35 176.245 2.01555 1
184.329 178.266 2.01545 1
186.35 178.266 0 1
184.329 176.245 4.02379 1
186.348 178.264 4.0232 1
188.37 176.244 0 1
190.39 176.242 2.01538 1
188.369 178.264 2.01526 1
190.389 178.263 0 1
188.369 176.242 4.02339 1
190.388 178.262 4.02289 1
192.409 176.242 0 1
194.429 176.241 2.01527 1
192.409 178.262 2.01514 1
194.429 178.262 0 1
192.409 176.24 4.02313 1
194.428 178.26 4.02271 1
196.448 176.241 0 1
198.468 176.24 2.01523 1
196.448 178.261 2.01507 1
198.468 178.261 0 1
196.448 176.239 4.02299 1
198.467 178.259 4.02263 1
200.487 176.241 0 1
202.506 176.24 2.01524 1
200.487 178.261 2.01506 1
202.507 178.262 0 1
200.487 176.238 4.02295 1
202.507 178.26 4.02265 1
204.526 176.242 0 1
206.545 176.242 2.01531 1
204.526 178.262 2.01509 1
206.546 178.263 0 1
204.526 176.24 4.02303 1
206.546 178.261 4.02279 1
208.565 176.244 0 1
210.584 176.245 2.01544 1
208.566 178.264 2.01519 1
210.585 178.266 0 1
208.565 176.242 4.02323 1
210.586 178.264 4.02304 1
212.603 176.247 0 1
214.623 176.248 2.01567 1
212.605 178.267 2.01536 1
214.624 178.269 0 1
212.604 176.245 4.02358 1
214.625 178.267 4.02344 1
216.642 176.251 0 1
216.644 178.27 2.0156 1
216.644 176.248 4.02409 1
220.68 176.254 0 1
218.662 176.252 2.01599 1
218.663 178.272 0 1
220.683 178.273 2.01595 1
220.682 176.252 4.0248 1
218.665 178.27 4.024 1
224.718 176.257 0 1
222.7 176.255 2.01643 1
222.701 178.274 0 1
224.721 178.275 2.01643 1
224.72 176.254 4.02577 1
222.703 178.272 4.02478 1
228.753 176.258 0 1
226.737 176.257 2.01706 1
226.738 178.276 0 1
228.757 178.276 2.0171 1
228.757 176.255 4.02705 1
226.741 178.274 4.02581 1
232.785 176.258 0 1
230.771 176.257 2.01793 1
230.773 178.277 0 1
232.791 178.275 2.01781 1
232.791 176.254 4.02855 1
230.777 178.274 4.02707 1
236.818 176.253 0 1
234.803 176.256 2.01873 1
234.806 178.274 0 1
236.822 178.272 2.01858 1
236.823 176.25 4.03015 1
234.81 178.272 4.02852 1
240.842 176.247 0 1
238.831 176.25 2.01951 1
238.833 178.27 0 1
240.844 178.267 2.02076 1
240.85 176.242 4.03318 1
238.839 178.267 4.03069 1
242.847 176.247 2.02376 1
242.848 178.269 0 1
242.863 178.261 4.03528 1
154.082 182.315 0 1
154.054 182.299 4.03708 1
156.094 180.296 0 1
158.102 180.295 2.02029 1
156.082 182.31 2.02256 1
158.098 182.315 0 1
156.079 180.289 4.03414 1
158.087 182.31 4.03174 1
160.117 180.297 0 1
162.13 180.298 2.01901 1
160.109 182.315 2.01925 1
162.126 182.317 0 1
160.109 180.294 4.03063 1
162.119 182.314 4.02904 1
164.147 180.3 0 1
166.161 180.297 2.01796 1
164.14 182.317 2.0181 1
166.159 182.317 0 1
164.141 180.295 4.02864 1
166.154 182.314 4.02723 1
168.179 180.297 0 1
170.195 180.295 2.01696 1
168.174 182.315 2.01717 1
170.193 182.315 0 1
168.174 180.294 4.0269 1
170.19 182.313 4.02573 1
172.213 180.294 0 1
174.231 180.292 2.01623 1
172.21 182.313 2.01637 1
174.23 182.313 0 1
172.21 180.292 4.02545 1
174.227 182.311 4.02453 1
176.25 180.292 0 1
178.269 180.29 2.01573 1
176.248 182.311 2.0158 1
178.268 182.31 0 1
176.248 180.29 4.02437 1
178.266 182.308 4.02365 1
180.289 180.289 0 1
182.308 180.287 2.0154 1
180.287 182.308 2.0154 1
182.308 182.308 0 1
180.287 180.287 4.0236 1
182.306 182.306 4.02303 1
184.329 180.287 0 1
186.348 180.285 2.01518 1
184.327 182.306 2.01513 1
186.348 182.306 0 1
