ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
354
ITEM: BOX BOUNDS ff ff ff
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 4.0000000000000000e+02
0.0000000000000000e+00 8.0000000000000000e+02
ITEM: ATOMS x y z type
275.021 276.503 7.09928e-15 1
277.232 274.868 5.50748e-15 1
129.892 278.199 2.52046e-15 1
136.734 279.775 1.83273e-16 1
261.681 279.817 1.17737e-14 1
268.382 278.313 1.95834e-15 1
270.747 279.62 3.66545e-16 1
272.671 277.784 3.66545e-16 1
274.527 279.615 7.09928e-15 1
130.606 280.875 2.52046e-15 1
136.783 282.905 1.83273e-16 1
138.996 281.312 2.75374e-15 1
257.174 282.947 6.63272e-15 1
259.435 281.38 5.04093e-15 1
261.667 282.938 1.17737e-14 1
268.47 281.142 1.95834e-15 1
136.732 285.789 1.83273e-16 1
139.077 284.43 2.75374e-15 1
141.303 286.161 2.75374e-15 1
145.318 286.102 4.16548e-16 1
254.963 284.62 6.63272e-15 1
257.219 286.069 5.04093e-15 1
259.409 284.472 5.04093e-15 1
261.711 285.859 1.17737e-14 1
138.903 287.428 1.83273e-16 1
141.119 288.996 2.75374e-15 1
145.494 289.231 4.16548e-16 1
154.397 289.246 6.49824e-16 1
248.448 289.248 2.23719e-15 1
254.975 287.614 6.63272e-15 1
257.281 289.021 5.04093e-15 1
259.518 287.465 1.17737e-14 1
146.01 292 4.16548e-16 1
154.407 292.342 6.49824e-16 1
238.822 292.344 6.16617e-15 1
241.144 290.796 4.57438e-15 1
248.412 292.359 2.23719e-15 1
255.028 290.554 6.63272e-15 1
154.502 295.162 6.49824e-16 1
163.296 295.536 5.04536e-15 1
231.36 295.534 1.77063e-15 1
234.499 295.177 6.91157e-15 1
238.983 295.412 6.16617e-15 1
241.209 293.838 4.57438e-15 1
247.922 295.258 2.23719e-15 1
156.556 296.994 6.49824e-16 1
163.223 298.526 5.04536e-15 1
172.256 298.683 5.27864e-15 1
181.196 298.714 5.51191e-15 1
217.283 298.697 6.44502e-15 1
223.933 297.121 4.10783e-15 1
230.847 298.601 1.77063e-15 1
233.59 297.691 6.91157e-15 1
236.621 296.995 6.16617e-15 1
236.002 299.611 6.16617e-15 1
241.24 296.885 4.57438e-15 1
238.913 298.451 4.57438e-15 1
163.951 301.164 5.04536e-15 1
172.183 301.673 5.27864e-15 1
181.202 301.827 5.51191e-15 1
188.072 300.283 3.17472e-15 1
190.329 301.843 1.58293e-15 1
194.496 301.607 8.37531e-16 1
199.413 301.845 5.97847e-15 1
206.099 300.271 3.64127e-15 1
212.346 301.798 1.30408e-15 1
217.257 301.784 6.44502e-15 1
223.924 300.215 4.10783e-15 1
223.81 303.059 4.10783e-15 1
230.598 301.68 1.77063e-15 1
232.988 300.304 6.91157e-15 1
172.745 304.362 5.27864e-15 1
181.643 304.717 5.51191e-15 1
190.243 304.896 1.58293e-15 1
188.03 303.364 3.17472e-15 1
187.927 306.216 3.17472e-15 1
192.554 303.511 8.37531e-16 1
192.529 306.32 8.37531e-16 1
199.39 304.888 5.97847e-15 1
206.095 303.352 3.64127e-15 1
206.142 306.14 3.64127e-15 1
212.451 304.905 1.30408e-15 1
214.859 306.394 6.44502e-15 1
216.951 304.604 6.44502e-15 1
221.746 304.886 4.10783e-15 1
228.413 303.373 1.77063e-15 1
190.198 307.749 1.58293e-15 1
199.352 307.668 5.97847e-15 1
212.505 307.717 1.30408e-15 1
